Date,Business Unit,Linear Forecast,Seasonal Forecast,Ensemble Forecast,Forecast Type
2024-02-01,Enterprise,571065.0108401752,622478.1800110339,596771.5954256046,prediction
2024-03-01,Enterprise,573505.180571976,602281.4326056791,587893.3065888276,prediction
2024-04-01,Enterprise,575945.3503037768,663725.7337257895,619835.5420147831,prediction
2024-05-01,Enterprise,578385.5200355776,606691.3979710347,592538.4590033062,prediction
2024-06-01,Enterprise,580825.6897673783,620818.0352171306,600821.8624922545,prediction
2024-07-01,Enterprise,583265.8594991791,591395.6131462052,587330.7363226921,prediction
2024-08-01,Enterprise,585706.0292309799,529335.9568444415,557520.9930377107,prediction
2024-09-01,Enterprise,588146.1989627806,521020.9716689689,554583.5853158748,prediction
2024-10-01,Enterprise,590586.3686945813,547390.5902618718,568988.4794782265,prediction
2024-11-01,Enterprise,593026.5384263821,616399.972929506,604713.255677944,prediction
2024-12-01,Enterprise,595466.7081581829,551589.219072257,573527.96361522,prediction
2025-01-01,Enterprise,597906.8778899837,581584.491768177,589745.6848290804,prediction
2024-02-01,International,495729.5965873015,542982.1088632961,519355.8527252989,prediction
2024-03-01,International,498434.0988888888,533879.0927176273,516156.59580325807,prediction
2024-04-01,International,501138.60119047615,587738.9000891654,544438.7506398208,prediction
2024-05-01,International,503843.1034920634,594648.1412998398,549245.6223959517,prediction
2024-06-01,International,506547.6057936507,593169.5156646399,549858.5607291453,prediction
2024-07-01,International,509252.1080952381,545004.0846626773,527128.0963789576,prediction
2024-08-01,International,511956.61039682536,468393.8979488925,490175.2541728589,prediction
2024-09-01,International,514661.1126984127,428258.7063102728,471459.9095043427,prediction
2024-10-01,International,517365.615,450551.8079647043,483958.7114823521,prediction
2024-11-01,International,520070.1173015873,448543.3177187087,484306.717510148,prediction
2024-12-01,International,522774.61960317456,565913.2692342534,544343.944418714,prediction
2025-01-01,International,525479.1219047619,543976.065617173,534727.5937609675,prediction
2024-02-01,Marketing,185856.20802681995,170301.075107157,178078.6415669885,prediction
2024-03-01,Marketing,187322.0671373837,191161.2574064184,189241.66227190103,prediction
2024-04-01,Marketing,188787.92624794747,201017.3759124638,194902.65108020563,prediction
2024-05-01,Marketing,190253.7853585113,217416.0112182979,203834.89828840457,prediction
2024-06-01,Marketing,191719.64446907505,222298.18186695545,207008.91316801525,prediction
2024-07-01,Marketing,193185.5035796388,205429.9967816838,199307.75018066127,prediction
2024-08-01,Marketing,194651.3626902025,203946.8172170248,199299.08995361364,prediction
2024-09-01,Marketing,196117.2218007663,174676.17746886495,185396.6996348156,prediction
2024-10-01,Marketing,197583.0809113301,175134.81085211498,186358.94588172247,prediction
2024-11-01,Marketing,199048.94002189385,195810.22388180185,197429.58195184785,prediction
2024-12-01,Marketing,200514.7991324576,232468.0676084428,216491.4333704502,prediction
2025-01-01,Marketing,201980.65824302135,197984.4172175665,199982.53773029396,prediction
2024-02-01,SMB,233374.3261658456,233307.0137638996,233340.66996487265,prediction
2024-03-01,SMB,234386.88917898192,237757.43308066696,236072.16112982444,prediction
2024-04-01,SMB,235399.45219211825,255906.61460671335,245653.03339941576,prediction
2024-05-01,SMB,236412.0152052545,251922.19513718635,244167.1051712204,prediction
2024-06-01,SMB,237424.5782183908,279432.3179156156,258428.4480670032,prediction
2024-07-01,SMB,238437.1412315271,235126.17841730177,236781.6598244144,prediction
2024-08-01,SMB,239449.70424466336,214481.58339493445,226965.6438197989,prediction
2024-09-01,SMB,240462.2672577997,223038.36792448183,231750.31759114077,prediction
2024-10-01,SMB,241474.830270936,218007.65968707408,229741.24497900505,prediction
2024-11-01,SMB,242487.39328407223,206888.9279667748,224688.16062542357,prediction
2024-12-01,SMB,243499.95629720853,245304.5213148582,244402.23880603336,prediction
2025-01-01,SMB,244512.51931034483,233436.53753330972,238974.5284218273,prediction
2024-02-01,Sales,370442.17959496455,397177.1639663904,383809.6717806775,prediction
2024-03-01,Sales,370223.30266283534,416929.3962715648,393576.3494672001,prediction
2024-04-01,Sales,370004.4257307062,475495.8643488996,422750.1450398029,prediction
2024-05-01,Sales,369785.548798577,428386.9015634441,399086.22518101055,prediction
2024-06-01,Sales,369566.67186644784,430466.5245019816,400016.59818421473,prediction
2024-07-01,Sales,369347.7949343186,404186.94000355765,386767.3674689381,prediction
2024-08-01,Sales,369128.9180021895,393006.4425602646,381067.6802812271,prediction
2024-09-01,Sales,368910.0410700603,368697.61149482615,368803.8262824433,prediction
2024-10-01,Sales,368691.16413793113,337333.2493771552,353012.20675754314,prediction
2024-11-01,Sales,368472.2872058019,366381.36224680615,367426.824726304,prediction
2024-12-01,Sales,368253.4102736728,341675.0532083331,354964.23174100294,prediction
2025-01-01,Sales,368034.5333415436,401041.1747226371,384537.8540320904,prediction
